Type;Parameter Type;Date;Time;Operator ID;Probe Model;Probe SN;Method Name;Sample ID;Primary Reading Value;Primary Reading Units;Supp Reading 1;Supp Units 1;Supp Reading 2;Supp Units 2;Supp Reading 3;Supp Units 3;Reading Setting 1;Reading Setting 2;Reading Setting 3;Reading Setting 4;Reading Message 1;Reading Message 2;Reading Message 3;Reading Message 4;Check Std Value;Check Std Units;Check Std Graph;Check Std Status;Calibration Status;Cal Date;Cal Time;Cal Operator ID;Cal Slope Name;Cal Slope;Cal Slope Aux;Cal Slope Units;Cal Offset;Cal Offset Units;Cal r2;Cal Number Of Std's;Cal Std 1;Cal Std 1 Units;Cal Std 1 Primary Value;Cal Std 1 Primary Units;Cal Std 1 Supp Value;Cal Std 2;Cal Std 2 Units;Cal Std 2 Primary Value;Cal Std 2 Primary Units;Cal Std 2 Supp Value;Cal Std 3;Cal Std 3 Units;Cal Std 3 Primary Value;Cal Std 3 Primary Units;Cal Std 3 Supp Value;Cal Std 4;Cal Std 4 Units;Cal Std 4 Primary Value;Cal Std 4 Primary Units;Cal Std 4 Supp Value;Cal Std 5;Cal Std 5 Units;Cal Std 5 Primary Value;Cal Std 5 Primary Units;Cal Std 5 Supp Value;Cal Std 6;Cal Std 6 Units;Cal Std 6 Primary Value;Cal Std 6 Primary Units;Cal Std 6 Supp Value;Cal Std 7;Cal Std 7 Units;Cal Std 7 Primary Value;Cal Std 7 Primary Units;Cal Std 7 Supp Value;Cal Std Supp Units;Cal Message 1;Cal Message 2;Cal Message 3;Cal Message 4;Date/Time POSIX;Cal Date/Time POSIX;Meter SN;Measurement Stability;Measurement Mode;Column1
RD;pH;4/26/2024;10:47:03 AM;Default;PHC301;SN 240462571090;Edited;Sample ID (29242);2.909;pH;21;°C;248.1;mV;;;;;;;;;;;;;;;OK;4/25/2024;12:22:34 PM;Default;Slope;-57.99;98;mV/pH;14.1;mV;0.9998;3;4;pH;187.6;mV;22.2;7.01;pH;11;mV;22;10.04;pH;-159.2;mV;22.5;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714128423;1714047754;2.32E+11;;Interval;EndOfRecord
RD;CD;4/26/2024;10:47:03 AM;Default;CDC401;SN 231662582599;Edited;Sample ID (29242);41.2;mS/cm;21;°C;38;mS/cm;;;NaCl/Non-Linear;Reference Temperature = 25 °C;;;;;;;;;;;OK;4/19/2024;3:08:41 PM;Default;K;0.366;;cm⁻¹;;;;1;30000;µS/cm;28.4;mS/cm;22.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714128423;1713539321;2.32E+11;;Interval;EndOfRecord
RD;pH;4/26/2024;10:46:05 AM;Default;PHC301;SN 240462571090;Edited;Sample ID (29241);2.909;pH;21;°C;248.1;mV;;;;;;;;;;;;;;;OK;4/25/2024;12:22:34 PM;Default;Slope;-57.99;98;mV/pH;14.1;mV;0.9998;3;4;pH;187.6;mV;22.2;7.01;pH;11;mV;22;10.04;pH;-159.2;mV;22.5;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714128365;1714047754;2.32E+11;;Interval;EndOfRecord
RD;CD;4/26/2024;10:46:05 AM;Default;CDC401;SN 231662582599;Edited;Sample ID (29241);41.2;mS/cm;21;°C;38;mS/cm;;;NaCl/Non-Linear;Reference Temperature = 25 °C;;;;;;;;;;;OK;4/19/2024;3:08:41 PM;Default;K;0.366;;cm⁻¹;;;;1;30000;µS/cm;28.4;mS/cm;22.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714128365;1713539321;2.32E+11;;Interval;EndOfRecord
RD;pH;4/26/2024;10:45:04 AM;Default;PHC301;SN 240462571090;Edited;Sample ID (29240);2.91;pH;21;°C;248.1;mV;;;;;;;;;;;;;;;OK;4/25/2024;12:22:34 PM;Default;Slope;-57.99;98;mV/pH;14.1;mV;0.9998;3;4;pH;187.6;mV;22.2;7.01;pH;11;mV;22;10.04;pH;-159.2;mV;22.5;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714128304;1714047754;2.32E+11;;Interval;EndOfRecord
RD;CD;4/26/2024;10:45:04 AM;Default;CDC401;SN 231662582599;Edited;Sample ID (29240);41.2;mS/cm;21.1;°C;38;mS/cm;;;NaCl/Non-Linear;Reference Temperature = 25 °C;;;;;;;;;;;OK;4/19/2024;3:08:41 PM;Default;K;0.366;;cm⁻¹;;;;1;30000;µS/cm;28.4;mS/cm;22.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714128304;1713539321;2.32E+11;;Interval;EndOfRecord
RD;pH;4/26/2024;10:44:03 AM;Default;PHC301;SN 240462571090;Edited;Sample ID (29239);2.91;pH;21.1;°C;248.1;mV;;;;;;;;;;;;;;;OK;4/25/2024;12:22:34 PM;Default;Slope;-57.99;98;mV/pH;14.1;mV;0.9998;3;4;pH;187.6;mV;22.2;7.01;pH;11;mV;22;10.04;pH;-159.2;mV;22.5;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714128243;1714047754;2.32E+11;;Interval;EndOfRecord
RD;CD;4/26/2024;10:44:03 AM;Default;CDC401;SN 231662582599;Edited;Sample ID (29239);41.2;mS/cm;21.1;°C;38;mS/cm;;;NaCl/Non-Linear;Reference Temperature = 25 °C;;;;;;;;;;;OK;4/19/2024;3:08:41 PM;Default;K;0.366;;cm⁻¹;;;;1;30000;µS/cm;28.4;mS/cm;22.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714128243;1713539321;2.32E+11;;Interval;EndOfRecord
RD;pH;4/26/2024;10:43:03 AM;Default;PHC301;SN 240462571090;Edited;Sample ID (29238);2.91;pH;21.1;°C;248.1;mV;;;;;;;;;;;;;;;OK;4/25/2024;12:22:34 PM;Default;Slope;-57.99;98;mV/pH;14.1;mV;0.9998;3;4;pH;187.6;mV;22.2;7.01;pH;11;mV;22;10.04;pH;-159.2;mV;22.5;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714128183;1714047754;2.32E+11;;Interval;EndOfRecord
RD;CD;4/26/2024;10:43:03 AM;Default;CDC401;SN 231662582599;Edited;Sample ID (29238);41.2;mS/cm;21.1;°C;38;mS/cm;;;NaCl/Non-Linear;Reference Temperature = 25 °C;;;;;;;;;;;OK;4/19/2024;3:08:41 PM;Default;K;0.366;;cm⁻¹;;;;1;30000;µS/cm;28.4;mS/cm;22.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714128183;1713539321;2.32E+11;;Interval;EndOfRecord
RD;pH;4/26/2024;10:42:04 AM;Default;PHC301;SN 240462571090;Edited;Sample ID (29237);2.91;pH;21.1;°C;248.1;mV;;;;;;;;;;;;;;;OK;4/25/2024;12:22:34 PM;Default;Slope;-57.99;98;mV/pH;14.1;mV;0.9998;3;4;pH;187.6;mV;22.2;7.01;pH;11;mV;22;10.04;pH;-159.2;mV;22.5;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714128124;1714047754;2.32E+11;;Interval;EndOfRecord
RD;CD;4/26/2024;10:42:04 AM;Default;CDC401;SN 231662582599;Edited;Sample ID (29237);41.2;mS/cm;21.1;°C;38;mS/cm;;;NaCl/Non-Linear;Reference Temperature = 25 °C;;;;;;;;;;;OK;4/19/2024;3:08:41 PM;Default;K;0.366;;cm⁻¹;;;;1;30000;µS/cm;28.4;mS/cm;22.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714128124;1713539321;2.32E+11;;Interval;EndOfRecord
RD;pH;4/26/2024;10:41:04 AM;Default;PHC301;SN 240462571090;Edited;Sample ID (29236);2.911;pH;21.1;°C;248;mV;;;;;;;;;;;;;;;OK;4/25/2024;12:22:34 PM;Default;Slope;-57.99;98;mV/pH;14.1;mV;0.9998;3;4;pH;187.6;mV;22.2;7.01;pH;11;mV;22;10.04;pH;-159.2;mV;22.5;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714128064;1714047754;2.32E+11;;Interval;EndOfRecord
RD;CD;4/26/2024;10:41:04 AM;Default;CDC401;SN 231662582599;Edited;Sample ID (29236);41.2;mS/cm;21.1;°C;38;mS/cm;;;NaCl/Non-Linear;Reference Temperature = 25 °C;;;;;;;;;;;OK;4/19/2024;3:08:41 PM;Default;K;0.366;;cm⁻¹;;;;1;30000;µS/cm;28.4;mS/cm;22.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714128064;1713539321;2.32E+11;;Interval;EndOfRecord
RD;pH;4/26/2024;10:40:03 AM;Default;PHC301;SN 240462571090;Edited;Sample ID (29235);2.911;pH;21.1;°C;248;mV;;;;;;;;;;;;;;;OK;4/25/2024;12:22:34 PM;Default;Slope;-57.99;98;mV/pH;14.1;mV;0.9998;3;4;pH;187.6;mV;22.2;7.01;pH;11;mV;22;10.04;pH;-159.2;mV;22.5;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714128003;1714047754;2.32E+11;;Interval;EndOfRecord
RD;CD;4/26/2024;10:40:03 AM;Default;CDC401;SN 231662582599;Edited;Sample ID (29235);41.2;mS/cm;21.1;°C;38.1;mS/cm;;;NaCl/Non-Linear;Reference Temperature = 25 °C;;;;;;;;;;;OK;4/19/2024;3:08:41 PM;Default;K;0.366;;cm⁻¹;;;;1;30000;µS/cm;28.4;mS/cm;22.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714128003;1713539321;2.32E+11;;Interval;EndOfRecord
RD;pH;4/26/2024;10:39:03 AM;Default;PHC301;SN 240462571090;Edited;Sample ID (29234);2.911;pH;21.1;°C;248;mV;;;;;;;;;;;;;;;OK;4/25/2024;12:22:34 PM;Default;Slope;-57.99;98;mV/pH;14.1;mV;0.9998;3;4;pH;187.6;mV;22.2;7.01;pH;11;mV;22;10.04;pH;-159.2;mV;22.5;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714127943;1714047754;2.32E+11;;Interval;EndOfRecord
RD;CD;4/26/2024;10:39:03 AM;Default;CDC401;SN 231662582599;Edited;Sample ID (29234);41.2;mS/cm;21.1;°C;38.1;mS/cm;;;NaCl/Non-Linear;Reference Temperature = 25 °C;;;;;;;;;;;OK;4/19/2024;3:08:41 PM;Default;K;0.366;;cm⁻¹;;;;1;30000;µS/cm;28.4;mS/cm;22.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714127943;1713539321;2.32E+11;;Interval;EndOfRecord
RD;pH;4/26/2024;10:38:04 AM;Default;PHC301;SN 240462571090;Edited;Sample ID (29233);2.913;pH;21.1;°C;248;mV;;;;;;;;;;;;;;;OK;4/25/2024;12:22:34 PM;Default;Slope;-57.99;98;mV/pH;14.1;mV;0.9998;3;4;pH;187.6;mV;22.2;7.01;pH;11;mV;22;10.04;pH;-159.2;mV;22.5;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714127884;1714047754;2.32E+11;;Interval;EndOfRecord
RD;CD;4/26/2024;10:38:04 AM;Default;CDC401;SN 231662582599;Edited;Sample ID (29233);41.1;mS/cm;21.1;°C;38;mS/cm;;;NaCl/Non-Linear;Reference Temperature = 25 °C;;;;;;;;;;;OK;4/19/2024;3:08:41 PM;Default;K;0.366;;cm⁻¹;;;;1;30000;µS/cm;28.4;mS/cm;22.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714127884;1713539321;2.32E+11;;Interval;EndOfRecord
RD;pH;4/26/2024;10:37:05 AM;Default;PHC301;SN 240462571090;Edited;Sample ID (29232);2.913;pH;21.1;°C;248;mV;;;;;;;;;;;;;;;OK;4/25/2024;12:22:34 PM;Default;Slope;-57.99;98;mV/pH;14.1;mV;0.9998;3;4;pH;187.6;mV;22.2;7.01;pH;11;mV;22;10.04;pH;-159.2;mV;22.5;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714127825;1714047754;2.32E+11;;Interval;EndOfRecord
RD;CD;4/26/2024;10:37:05 AM;Default;CDC401;SN 231662582599;Edited;Sample ID (29232);41.2;mS/cm;21.1;°C;38;mS/cm;;;NaCl/Non-Linear;Reference Temperature = 25 °C;;;;;;;;;;;OK;4/19/2024;3:08:41 PM;Default;K;0.366;;cm⁻¹;;;;1;30000;µS/cm;28.4;mS/cm;22.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714127825;1713539321;2.32E+11;;Interval;EndOfRecord
RD;pH;4/26/2024;10:36:04 AM;Default;PHC301;SN 240462571090;Edited;Sample ID (29231);2.913;pH;21.1;°C;248;mV;;;;;;;;;;;;;;;OK;4/25/2024;12:22:34 PM;Default;Slope;-57.99;98;mV/pH;14.1;mV;0.9998;3;4;pH;187.6;mV;22.2;7.01;pH;11;mV;22;10.04;pH;-159.2;mV;22.5;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714127764;1714047754;2.32E+11;;Interval;EndOfRecord
RD;CD;4/26/2024;10:36:04 AM;Default;CDC401;SN 231662582599;Edited;Sample ID (29231);41.2;mS/cm;21.1;°C;38.1;mS/cm;;;NaCl/Non-Linear;Reference Temperature = 25 °C;;;;;;;;;;;OK;4/19/2024;3:08:41 PM;Default;K;0.366;;cm⁻¹;;;;1;30000;µS/cm;28.4;mS/cm;22.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714127764;1713539321;2.32E+11;;Interval;EndOfRecord
RD;pH;4/26/2024;10:35:04 AM;Default;PHC301;SN 240462571090;Edited;Sample ID (29230);2.913;pH;21.1;°C;248;mV;;;;;;;;;;;;;;;OK;4/25/2024;12:22:34 PM;Default;Slope;-57.99;98;mV/pH;14.1;mV;0.9998;3;4;pH;187.6;mV;22.2;7.01;pH;11;mV;22;10.04;pH;-159.2;mV;22.5;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714127704;1714047754;2.32E+11;;Interval;EndOfRecord
RD;CD;4/26/2024;10:35:04 AM;Default;CDC401;SN 231662582599;Edited;Sample ID (29230);41.2;mS/cm;21.1;°C;38.1;mS/cm;;;NaCl/Non-Linear;Reference Temperature = 25 °C;;;;;;;;;;;OK;4/19/2024;3:08:41 PM;Default;K;0.366;;cm⁻¹;;;;1;30000;µS/cm;28.4;mS/cm;22.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714127704;1713539321;2.32E+11;;Interval;EndOfRecord
RD;pH;4/26/2024;10:34:04 AM;Default;PHC301;SN 240462571090;Edited;Sample ID (29229);2.914;pH;21.1;°C;248;mV;;;;;;;;;;;;;;;OK;4/25/2024;12:22:34 PM;Default;Slope;-57.99;98;mV/pH;14.1;mV;0.9998;3;4;pH;187.6;mV;22.2;7.01;pH;11;mV;22;10.04;pH;-159.2;mV;22.5;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714127644;1714047754;2.32E+11;;Interval;EndOfRecord
RD;CD;4/26/2024;10:34:04 AM;Default;CDC401;SN 231662582599;Edited;Sample ID (29229);41.2;mS/cm;21.1;°C;38.1;mS/cm;;;NaCl/Non-Linear;Reference Temperature = 25 °C;;;;;;;;;;;OK;4/19/2024;3:08:41 PM;Default;K;0.366;;cm⁻¹;;;;1;30000;µS/cm;28.4;mS/cm;22.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714127644;1713539321;2.32E+11;;Interval;EndOfRecord
RD;pH;4/26/2024;10:33:04 AM;Default;PHC301;SN 240462571090;Edited;Sample ID (29228);2.914;pH;21.1;°C;247.9;mV;;;;;;;;;;;;;;;OK;4/25/2024;12:22:34 PM;Default;Slope;-57.99;98;mV/pH;14.1;mV;0.9998;3;4;pH;187.6;mV;22.2;7.01;pH;11;mV;22;10.04;pH;-159.2;mV;22.5;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714127584;1714047754;2.32E+11;;Interval;EndOfRecord
RD;CD;4/26/2024;10:33:04 AM;Default;CDC401;SN 231662582599;Edited;Sample ID (29228);41.2;mS/cm;21.1;°C;38.1;mS/cm;;;NaCl/Non-Linear;Reference Temperature = 25 °C;;;;;;;;;;;OK;4/19/2024;3:08:41 PM;Default;K;0.366;;cm⁻¹;;;;1;30000;µS/cm;28.4;mS/cm;22.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714127584;1713539321;2.32E+11;;Interval;EndOfRecord
RD;pH;4/26/2024;10:32:04 AM;Default;PHC301;SN 240462571090;Edited;Sample ID (29227);2.914;pH;21.1;°C;247.9;mV;;;;;;;;;;;;;;;OK;4/25/2024;12:22:34 PM;Default;Slope;-57.99;98;mV/pH;14.1;mV;0.9998;3;4;pH;187.6;mV;22.2;7.01;pH;11;mV;22;10.04;pH;-159.2;mV;22.5;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714127524;1714047754;2.32E+11;;Interval;EndOfRecord
RD;CD;4/26/2024;10:32:04 AM;Default;CDC401;SN 231662582599;Edited;Sample ID (29227);41.2;mS/cm;21.1;°C;38.1;mS/cm;;;NaCl/Non-Linear;Reference Temperature = 25 °C;;;;;;;;;;;OK;4/19/2024;3:08:41 PM;Default;K;0.366;;cm⁻¹;;;;1;30000;µS/cm;28.4;mS/cm;22.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714127524;1713539321;2.32E+11;;Interval;EndOfRecord
RD;pH;4/26/2024;10:31:05 AM;Default;PHC301;SN 240462571090;Edited;Sample ID (29226);2.914;pH;21.1;°C;247.9;mV;;;;;;;;;;;;;;;OK;4/25/2024;12:22:34 PM;Default;Slope;-57.99;98;mV/pH;14.1;mV;0.9998;3;4;pH;187.6;mV;22.2;7.01;pH;11;mV;22;10.04;pH;-159.2;mV;22.5;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714127465;1714047754;2.32E+11;;Interval;EndOfRecord
RD;CD;4/26/2024;10:31:05 AM;Default;CDC401;SN 231662582599;Edited;Sample ID (29226);41.2;mS/cm;21.1;°C;38.1;mS/cm;;;NaCl/Non-Linear;Reference Temperature = 25 °C;;;;;;;;;;;OK;4/19/2024;3:08:41 PM;Default;K;0.366;;cm⁻¹;;;;1;30000;µS/cm;28.4;mS/cm;22.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714127465;1713539321;2.32E+11;;Interval;EndOfRecord
RD;pH;4/26/2024;10:30:03 AM;Default;PHC301;SN 240462571090;Edited;Sample ID (29225);2.915;pH;21.1;°C;247.9;mV;;;;;;;;;;;;;;;OK;4/25/2024;12:22:34 PM;Default;Slope;-57.99;98;mV/pH;14.1;mV;0.9998;3;4;pH;187.6;mV;22.2;7.01;pH;11;mV;22;10.04;pH;-159.2;mV;22.5;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714127403;1714047754;2.32E+11;;Interval;EndOfRecord
RD;CD;4/26/2024;10:30:03 AM;Default;CDC401;SN 231662582599;Edited;Sample ID (29225);41.2;mS/cm;21.1;°C;38.1;mS/cm;;;NaCl/Non-Linear;Reference Temperature = 25 °C;;;;;;;;;;;OK;4/19/2024;3:08:41 PM;Default;K;0.366;;cm⁻¹;;;;1;30000;µS/cm;28.4;mS/cm;22.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714127403;1713539321;2.32E+11;;Interval;EndOfRecord
RD;pH;4/26/2024;10:29:03 AM;Default;PHC301;SN 240462571090;Edited;Sample ID (29224);2.915;pH;21.1;°C;247.9;mV;;;;;;;;;;;;;;;OK;4/25/2024;12:22:34 PM;Default;Slope;-57.99;98;mV/pH;14.1;mV;0.9998;3;4;pH;187.6;mV;22.2;7.01;pH;11;mV;22;10.04;pH;-159.2;mV;22.5;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714127343;1714047754;2.32E+11;;Interval;EndOfRecord
RD;CD;4/26/2024;10:29:03 AM;Default;CDC401;SN 231662582599;Edited;Sample ID (29224);41.2;mS/cm;21.2;°C;38.1;mS/cm;;;NaCl/Non-Linear;Reference Temperature = 25 °C;;;;;;;;;;;OK;4/19/2024;3:08:41 PM;Default;K;0.366;;cm⁻¹;;;;1;30000;µS/cm;28.4;mS/cm;22.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714127343;1713539321;2.32E+11;;Interval;EndOfRecord
RD;pH;4/26/2024;10:28:03 AM;Default;PHC301;SN 240462571090;Edited;Sample ID (29223);2.915;pH;21.1;°C;247.9;mV;;;;;;;;;;;;;;;OK;4/25/2024;12:22:34 PM;Default;Slope;-57.99;98;mV/pH;14.1;mV;0.9998;3;4;pH;187.6;mV;22.2;7.01;pH;11;mV;22;10.04;pH;-159.2;mV;22.5;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714127283;1714047754;2.32E+11;;Interval;EndOfRecord
RD;CD;4/26/2024;10:28:03 AM;Default;CDC401;SN 231662582599;Edited;Sample ID (29223);41.2;mS/cm;21.2;°C;38.1;mS/cm;;;NaCl/Non-Linear;Reference Temperature = 25 °C;;;;;;;;;;;OK;4/19/2024;3:08:41 PM;Default;K;0.366;;cm⁻¹;;;;1;30000;µS/cm;28.4;mS/cm;22.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;°C;;;;;1714127283;1713539321;2.32E+11;;Interval;EndOfRecord
